iter	Logloss
0	0.6782256587
1	0.6662986519
2	0.6567620734
3	0.6484916891
4	0.6420518594
5	0.636842219
6	0.6327300192
7	0.6293356009
8	0.6265533588
9	0.6243646429
10	0.6220719681
11	0.6202807622
12	0.6191100165
13	0.6178372285
14	0.616652434
15	0.6157679404
16	0.6149207513
17	0.6142652745
18	0.613721317
19	0.6132656592
20	0.6128434266
21	0.6124269781
22	0.6120730997
23	0.6117970084
24	0.6114993619
25	0.6113034556
26	0.6111189493
27	0.6109335038
28	0.6107384766
29	0.6105901391
30	0.6104206546
31	0.6103137043
32	0.6101980557
33	0.6100156775
34	0.6099031998
35	0.6097943432
36	0.6096399638
37	0.6095483612
38	0.6094667878
39	0.6093681242
40	0.6093072226
41	0.6092174155
42	0.6090742617
43	0.6090058174
44	0.6089085746
45	0.6088178497
46	0.6087278456
47	0.608646577
48	0.6085724552
49	0.6085132902
50	0.6084278522
51	0.6083196389
52	0.6082654839
53	0.6081857427
54	0.6081291906
55	0.6081094886
56	0.6080323851
57	0.6079445666
58	0.6079050409
59	0.6078085773
60	0.6077761294
61	0.6077317411
62	0.607678561
63	0.6076171626
64	0.6075505706
65	0.6074743695
66	0.6074263121
67	0.6073691167
68	0.6072950331
69	0.6072476353
70	0.607163708
71	0.6071222307
72	0.6070921786
73	0.607060549
74	0.6070134678
75	0.6070073003
76	0.6069446641
77	0.6068437972
78	0.6068005389
79	0.6067048258
80	0.6066918699
81	0.606662985
82	0.6066264937
83	0.6065664263
84	0.6065300486
85	0.6064613748
86	0.6063828768
87	0.6063493814
88	0.606288769
89	0.6062128134
90	0.6061681477
91	0.606136214
92	0.6061073271
93	0.6060817479
94	0.6060506705
95	0.60601287
96	0.6059987881
97	0.60593952
98	0.6059095354
99	0.605880118
100	0.6058514921
101	0.6057726138
102	0.6057182977
103	0.6056722498
104	0.6056266109
105	0.6056086161
106	0.6055603379
107	0.6055130826
108	0.6054753749
109	0.6054352702
110	0.6054070491
111	0.605352833
112	0.6052786908
113	0.6052420173
114	0.6052018338
115	0.605157057
116	0.6051353017
117	0.6050965876
118	0.6050470642
119	0.6049731265
120	0.6049220371
121	0.6048944642
122	0.6048461408
123	0.6047930126
124	0.6047395779
125	0.6046821621
126	0.6046573374
127	0.6046235979
128	0.604576686
129	0.6045626021
130	0.6045009172
131	0.6044435041
132	0.6043742434
133	0.6043285638
134	0.6042882535
135	0.6042167661
136	0.6041776041
137	0.6041537811
138	0.6041187842
139	0.6040589291
140	0.6039915319
141	0.6039326428
142	0.6038857698
143	0.603818589
144	0.6037543019
145	0.6037206899
146	0.6036641049
147	0.6036067747
148	0.6035568777
149	0.6035332371
150	0.6034807516
151	0.603424992
152	0.6034042072
153	0.6033848821
154	0.6033259589
155	0.6032870888
156	0.6032234134
157	0.6031609652
158	0.6031310012
159	0.6030859671
160	0.6030430852
161	0.6030062944
162	0.6029847163
163	0.6029697368
164	0.6029321338
165	0.6028941605
166	0.6028342535
167	0.602796489
168	0.6027838518
169	0.6027488169
170	0.602736696
171	0.602709604
172	0.6026738023
173	0.6026441551
174	0.6026234151
175	0.6025846073
176	0.6025363478
177	0.6024984973
178	0.6024557363
179	0.6024011214
180	0.6023514871
181	0.6023056551
182	0.6022819335
183	0.602258366
184	0.6022375449
185	0.6021787742
186	0.6021539918
187	0.602118114
188	0.6020649613
189	0.602017864
190	0.6019926426
191	0.6019472369
192	0.6019342185
193	0.6018946529
194	0.601845801
195	0.601809421
196	0.601753239
197	0.6017168877
198	0.6017046841
199	0.6016588669
200	0.6016313621
201	0.6015991234
202	0.6015453191
203	0.6015311155
204	0.6015206966
205	0.6014763336
206	0.6014692693
207	0.6014551479
208	0.6014454603
209	0.6014253504
210	0.601383845
211	0.6013574928
212	0.6013321012
213	0.6013251567
214	0.6013103208
215	0.6013010524
216	0.6012537229
217	0.6012206948
218	0.6012080077
219	0.6011689971
220	0.6011185406
221	0.601074331
222	0.601049285
223	0.6010454608
224	0.6010093319
225	0.6009819582
226	0.600945541
227	0.6009380111
228	0.6008916429
229	0.6008687743
230	0.6008292619
231	0.6007826605
232	0.6007371711
233	0.6007092758
