iter	Passed	Remaining
0	98	98211
1	193	96764
2	290	96478
3	399	99507
4	496	98858
5	592	98082
6	659	93624
7	749	92963
8	838	92317
9	926	91706
10	1020	91790
11	1114	91734
12	1158	87939
13	1244	87682
14	1351	88730
15	1444	88842
16	1528	88376
17	1612	87952
18	1696	87582
19	1782	87325
20	1869	87170
21	1955	86939
22	2037	86536
23	2120	86235
24	2201	85863
25	2275	85257
26	2357	84942
27	2446	84925
28	2534	84855
29	2624	84847
30	2711	84755
31	2792	84466
32	2873	84193
33	2964	84213
34	3047	84030
35	3135	83965
36	3227	84008
37	3315	83935
38	3424	84379
39	3507	84179
40	3600	84207
41	3695	84285
42	3790	84354
43	3882	84364
44	3969	84244
45	4062	84252
46	4151	84171
47	4241	84127
48	4326	83966
49	4416	83907
50	4509	83910
51	4604	83944
52	4697	83934
53	4787	83871
54	4873	83731
55	4967	83730
56	5058	83693
57	5151	83664
58	5246	83677
59	5335	83584
60	5454	83969
61	5539	83811
62	5630	83749
63	5726	83751
64	5816	83665
65	5905	83573
66	5999	83540
67	6089	83466
68	6175	83322
69	6264	83232
70	6358	83201
71	6445	83072
72	6531	82935
73	6618	82820
74	6702	82658
75	6747	82036
76	6834	81922
77	6920	81801
78	7010	81733
79	7104	81703
80	7200	81694
81	7288	81598
82	7371	81439
83	7487	81651
84	7586	81669
85	7678	81601
86	7769	81532
87	7866	81524
88	7960	81483
89	8055	81445
90	8140	81311
91	8234	81272
92	8328	81223
93	8415	81112
94	8508	81057
95	8595	80940
96	8685	80855
97	8773	80749
98	8861	80647
99	8950	80555
100	9042	80484
101	9140	80473
102	9236	80440
103	9324	80332
104	9415	80255
105	9514	80246
106	9611	80211
107	9703	80145
108	9794	80062
109	9879	79931
110	9962	79788
111	10058	79747
112	10138	79579
113	10228	79497
114	10323	79447
115	10416	79381
116	10512	79341
117	10603	79258
118	10683	79093
119	10771	78991
120	10856	78866
121	10947	78782
122	11039	78711
123	11128	78619
124	11218	78529
125	11307	78431
126	11393	78321
127	11479	78205
128	11568	78107
129	11680	78171
130	11768	78064
131	11860	77990
132	11949	77898
133	12038	77803
134	12132	77739
135	12217	77614
136	12310	77547
137	12402	77473
138	12496	77404
139	12597	77385
140	12692	77322
141	12787	77266
142	12879	77186
143	12965	77070
144	13052	76966
145	13143	76882
146	13237	76811
147	13328	76727
148	13419	76646
149	13516	76590
150	13606	76504
151	13705	76459
152	13810	76454
153	13902	76372
154	13994	76292
155	14089	76229
156	14187	76180
157	14276	76081
158	14375	76037
159	14462	75928
160	14545	75799
161	14633	75697
162	14722	75597
163	14806	75478
164	14899	75398
165	14989	75307
166	15077	75208
167	15170	75132
168	15254	75007
169	15337	74882
170	15426	74788
171	15508	74659
172	15606	74605
173	15700	74532
174	15817	74567
175	15908	74479
176	15997	74382
177	16083	74272
178	16175	74190
179	16269	74117
180	16359	74024
181	16447	73923
182	16533	73815
183	16626	73735
184	16714	73633
185	16803	73537
186	16889	73426
187	16978	73332
188	17069	73246
189	17161	73161
190	17247	73053
191	17343	72987
192	17430	72883
193	17524	72808
194	17615	72721
195	17706	72632
196	17820	72637
197	17919	72583
198	18003	72467
199	18109	72436
200	18201	72352
201	18293	72270
202	18380	72163
203	18463	72044
204	18556	71962
205	18639	71842
206	18723	71729
207	18808	71618
208	18897	71520
209	18985	71420
210	19068	71303
211	19164	71234
212	19251	71130
213	19340	71035
214	19429	70941
215	19524	70866
216	19614	70776
217	19699	70664
218	19799	70610
219	19907	70579
220	19998	70491
221	20093	70416
222	20175	70297
223	20257	70176
224	20352	70102
225	20440	70005
226	20539	69943
227	20625	69836
228	20724	69775
229	20819	69699
230	20911	69614
231	21004	69530
232	21089	69424
233	21185	69349
234	21293	69318
235	21385	69232
236	21476	69141
237	21560	69031
238	21647	68927
239	21739	68842
240	21838	68776
241	21950	68755
242	22049	68688
243	22136	68586
244	22228	68500
245	22318	68407
246	22408	68312
247	22496	68214
248	22586	68121
249	22675	68027
250	22771	67952
251	22860	67856
252	22950	67762
253	23047	67691
254	23141	67608
255	23230	67514
256	23320	67421
257	23406	67317
258	23498	67228
259	23587	67134
260	23671	67024
261	23764	66939
262	23857	66856
263	23971	66830
264	24070	66762
265	24166	66684
266	24249	66573
267	24331	66456
268	24423	66370
269	24516	66284
270	24605	66188
271	24696	66099
272	24788	66011
273	24872	65903
274	24963	65811
275	25050	65711
276	25143	65627
277	25241	65556
278	25335	65473
279	25429	65391
280	25525	65313
281	25615	65219
282	25714	65149
283	25813	65079
284	25908	64998
285	26015	64947
286	26111	64868
287	26194	64757
288	26278	64651
289	26371	64564
290	26463	64475
291	26546	64365
292	26646	64298
293	26737	64205
294	26831	64123
295	26916	64018
296	27021	63959
297	27118	63883
298	27214	63803
299	27310	63723
300	27405	63641
301	27498	63556
302	27601	63493
303	27692	63402
304	27788	63320
305	27882	63236
306	27997	63199
307	28088	63108
308	28175	63007
309	28268	62919
310	28357	62824
311	28453	62742
312	28542	62648
313	28629	62546
314	28711	62436
315	28793	62325
316	28875	62215
317	28960	62109
318	29047	62010
319	29137	61917
320	29231	61832
321	29318	61733
322	29407	61636
323	29496	61541
324	29582	61440
325	29678	61359
326	29766	61263
327	29861	61179
328	29952	61087
329	30071	61053
330	30154	60946
331	30244	60853
332	30339	60770
333	30435	60688
334	30525	60594
335	30622	60515
336	30707	60413
337	30810	60345
338	30896	60243
339	30969	60117
340	31058	60021
341	31156	59943
342	31243	59846
343	31336	59758
344	31432	59676
345	31517	59574
346	31610	59485
347	31702	59396
348	31797	59312
349	31879	59205
350	31973	59120
351	32085	59066
352	32185	58992
353	32278	58904
354	32369	58812
355	32471	58740
356	32555	58636
357	32650	58551
358	32752	58479
359	32845	58391
360	32935	58297
361	33029	58211
362	33127	58132
363	33215	58036
364	33305	57942
365	33396	57851
366	33487	57759
367	33577	57665
368	33673	57583
369	33767	57496
370	33861	57409
371	33956	57324
372	34050	57237
373	34152	57164
374	34263	57105
375	34349	57005
376	34444	56920
377	34531	56821
378	34628	56739
379	34726	56659
380	34823	56576
381	34907	56473
382	34997	56379
383	35099	56305
384	35187	56207
385	35284	56125
386	35372	56028
387	35468	55944
388	35561	55856
389	35659	55774
390	35751	55684
391	35846	55598
392	35938	55508
393	36030	55417
394	36130	55338
395	36231	55261
396	36348	55209
397	36453	55138
398	36548	55051
399	36643	54964
400	36745	54889
401	36837	54797
402	36931	54709
403	37023	54618
404	37108	54516
405	37198	54423
406	37290	54331
407	37381	54240
408	37475	54151
409	37564	54055
410	37648	53953
411	37735	53856
412	37824	53760
413	37914	53666
414	38010	53581
415	38102	53490
416	38194	53398
417	38304	53333
418	38396	53242
419	38486	53147
420	38583	53064
421	38667	52961
422	38757	52867
423	38838	52761
424	38928	52668
425	39022	52580
426	39108	52480
427	39196	52383
428	39278	52280
429	39369	52187
430	39448	52079
431	39541	51990
432	39636	51902
433	39716	51796
434	39801	51695
435	39888	51599
436	39983	51512
437	40071	51416
438	40164	51325
439	40253	51231
440	40367	51168
441	40458	51076
442	40544	50977
443	40631	50881
444	40715	50779
445	40803	50684
446	40894	50592
447	40976	50488
448	41055	50382
449	41137	50279
450	41225	50184
451	41313	50087
452	41401	49992
453	41497	49906
454	41580	49805
455	41678	49721
456	41767	49627
457	41860	49538
458	41956	49451
459	42046	49358
460	42134	49263
461	42214	49158
462	42305	49067
463	42419	49002
464	42508	48907
465	42599	48815
466	42691	48725
467	42787	48638
468	42871	48538
469	42957	48441
470	43036	48335
471	43131	48248
472	43219	48153
473	43314	48066
474	43409	47978
475	43495	47881
476	43583	47787
477	43677	47697
478	43764	47602
479	43856	47510
480	43941	47412
481	44033	47322
482	44127	47233
483	44219	47143
484	44308	47048
485	44401	46960
486	44501	46877
487	44609	46803
488	44708	46719
489	44798	46627
490	44881	46527
491	44971	46433
492	45061	46340
493	45151	46248
494	45236	46150
495	45330	46061
496	45424	45973
497	45523	45889
498	45623	45806
499	45741	45741
500	45817	45634
501	45912	45546
502	46001	45452
503	46097	45365
504	46197	45282
505	46290	45192
506	46381	45101
507	46474	45011
508	46581	44934
509	46680	44849
510	46771	44758
511	46860	44664
512	46949	44570
513	47042	44480
514	47126	44381
515	47213	44285
516	47295	44185
517	47392	44098
518	47474	43998
519	47567	43908
520	47656	43814
521	47742	43718
522	47829	43623
523	47917	43528
524	48005	43433
525	48092	43337
526	48182	43245
527	48271	43152
528	48368	43065
529	48458	42972
530	48541	42873
531	48631	42781
532	48727	42693
533	48818	42601
534	48920	42519
535	49010	42427
536	49100	42334
537	49186	42238
538	49283	42151
539	49373	42058
540	49468	41970
541	49556	41876
542	49640	41778
543	49725	41681
544	49805	41580
545	49898	41490
546	49990	41399
547	50086	41312
548	50180	41222
549	50271	41131
550	50367	41043
551	50465	40957
552	50566	40873
553	50681	40801
554	50770	40707
555	50856	40612
556	50951	40523
557	51052	40439
558	51137	40342
559	51229	40251
560	51321	40160
561	51415	40071
562	51508	39980
563	51591	39883
564	51680	39789
565	51778	39702
566	51867	39609
567	51958	39517
568	52043	39421
569	52133	39328
570	52222	39235
571	52310	39141
572	52404	39051
573	52504	38966
574	52594	38873
575	52706	38797
576	52801	38708
577	52895	38619
578	52989	38529
579	53077	38435
580	53171	38345
581	53258	38250
582	53349	38159
583	53441	38068
584	53523	37969
585	53624	37884
586	53718	37794
587	53812	37705
588	53903	37613
589	53984	37514
590	54076	37423
591	54169	37333
592	54263	37242
593	54353	37150
594	54438	37054
595	54534	36966
596	54630	36877
597	54713	36780
598	54820	36699
599	54927	36618
600	55024	36530
601	55112	36436
602	55214	36352
603	55308	36261
604	55404	36172
605	55500	36084
606	55587	35990
607	55679	35898
608	55769	35806
609	55868	35719
610	55962	35629
611	56050	35535
612	56144	35445
613	56231	35350
614	56323	35259
615	56406	35162
616	56512	35079
617	56604	34988
618	56698	34898
619	56787	34804
620	56883	34716
621	57006	34643
622	57088	34546
623	57180	34455
624	57274	34364
625	57365	34272
626	57457	34180
627	57554	34092
628	57644	33999
629	57746	33914
630	57841	33824
631	57923	33727
632	58015	33636
633	58100	33540
634	58191	33448
635	58283	33357
636	58374	33265
637	58470	33176
638	58556	33080
639	58656	32994
640	58750	32904
641	58843	32813
642	58934	32721
643	59049	32642
644	59148	32554
645	59249	32467
646	59345	32378
647	59448	32293
648	59542	32202
649	59638	32112
650	59731	32021
651	59833	31935
652	59924	31843
653	60018	31752
654	60096	31653
655	60189	31562
656	60286	31473
657	60383	31384
658	60468	31289
659	60560	31197
660	60650	31105
661	60744	31014
662	60835	30922
663	60930	30832
